,playerID,Name,AB,H,average,Empirical Bayes Estimate,alpha1,beta1,PEP,Cumulative Mean
8990,wanerll01,Lloyd Waner,7772,2459,0.316392177046,0.313939702065,2576.98357784,5631.54678928,0.0030618106183,0.0005242352719
9459,youngro01,Ross Youngs,4627,1491,0.32223903177,0.317759243292,1608.98357784,3454.54678928,0.0030826774117,0.0005866362997
8851,vaughar01,Arky Vaughan,6622,2103,0.317577771066,0.314652408126,2220.98357784,4837.54678928,0.00378225201448,0.000662722388147
4453,kellejo01,Joe Kelley,7006,2220,0.316871253212,0.314138265149,2337.98357784,5104.54678928,0.00406255490974,0.000741788260742
286,averiea01,Earl Averill,6353,2019,0.317802612939,0.314746891507,2136.98357784,4652.54678928,0.00419155847626,0.000820192129277
1612,cochrmi01,Mickey Cochrane,5169,1652,0.319597601083,0.315756665636,1769.98357784,3835.54678928,0.00526079661225,0.000918872228899
80,alexada01,Dale Alexander,2450,811,0.331020408163,0.321833987415,928.983577844,1957.54678928,0.00557618953824,0.00102011825736
2809,fothebo01,Bob Fothergill,3269,1064,0.325481798715,0.318978246227,1181.98357784,2523.54678928,0.00617570246501,0.00112981153838
9241,willike01,Ken Williams,4862,1552,0.319210201563,0.315178636742,1669.98357784,3628.54678928,0.00828777968534,0.00127893587477
7014,ramirma02,Manny Ramirez,8244,2574,0.312227074236,0.310117408038,2691.98357784,5988.54678928,0.0203035566551,0.00166719344172
1547,clarkfr01,Fred Clarke,8568,2672,0.311858076564,0.309842208765,2789.98357784,6214.54678928,0.0212366775406,0.00205858312369
3446,hafeych01,Chick Hafey,4625,1466,0.316972972973,0.312945584231,1583.98357784,3477.54678928,0.0228654483077,0.0024665608724
8950,walkela01,Larry Walker,6907,2160,0.312726219777,0.310202785849,2277.98357784,5065.54678928,0.0288077765214,0.0029731227118
4218,jeterde01,Derek Jeter,11195,3465,0.309513175525,0.308040598679,3582.98357784,8048.54678928,0.0297172467034,0.00347772882485
7790,seweljo01,Joe Sewell,7132,2226,0.312114413909,0.309701284681,2343.98357784,5224.54678928,0.0334052231598,0.00403194168291
217,applilu01,Luke Appling,8856,2749,0.310411020777,0.30852560762,2866.98357784,6425.54678928,0.0370712070189,0.00463265559811
2214,dickebi01,Bill Dickey,6300,1969,0.31253968254,0.309800960451,2086.98357784,4649.54678928,0.0403499628314,0.00527046465584
5351,martied01,Edgar Martinez,7213,2247,0.311520865105,0.309167159857,2364.98357784,5284.54678928,0.0408059856892,0.00589389484941
5890,mizejo01,Johnny Mize,6443,2011,0.312121682446,0.309466411838,2128.98357784,4750.54678928,0.044101395516,0.0065526448609
8700,travice01,Cecil Travis,4914,1544,0.314204314204,0.310620342996,1661.98357784,3688.54678928,0.0459155675104,0.0072198130414
2747,flickel01,Elmer Flick,5597,1752,0.313024834733,0.309931907865,1869.98357784,4163.54678928,0.0469986057143,0.00788279291928
1846,crawfsa01,Sam Crawford,9570,2961,0.309404388715,0.307697420073,3078.98357784,6927.54678928,0.047124376818,0.00852609757336
2610,falkbi01,Bibb Falk,4652,1463,0.314488392089,0.310695517916,1580.98357784,3507.54678928,0.0489157445378,0.00917754349214
3318,greenha01,Hank Greenberg,5193,1628,0.313498940882,0.310147288314,1745.98357784,3883.54678928,0.0492224689492,0.00981317722956
2978,garcino01,Nomar Garciaparra,5586,1747,0.312746151092,0.309667774865,1864.98357784,4157.54678928,0.0516902608832,0.0104675066616
6940,pujolal01,Albert Pujols,9138,2825,0.309148610199,0.307376285311,2942.98357784,6631.54678928,0.0583821440435,0.0112046549291
5804,millebi02,Bing Miller,6212,1934,0.311332904057,0.308637167094,2051.98357784,4596.54678928,0.0631030212092,0.0119909938121
3365,grimera01,Ray Grimes,1537,505,0.328562134027,0.315669618377,622.983577844,1350.54678928,0.0660890346981,0.0127984272582
3587,harrijo03,Joe Harris,3035,963,0.317298187809,0.311385315273,1080.98357784,2390.54678928,0.0729792438773,0.0136834392673
838,bottoji01,Jim Bottomley,7471,2313,0.309597108821,0.307426398001,2430.98357784,5476.54678928,0.0757064457048,0.0145823234185
4988,lindsfr01,Freddie Lindstrom,5611,1747,0.311352700053,0.308387633402,1864.98357784,4182.54678928,0.0783837541792,0.0154937724294
2586,everibi01,Bill Everitt,2842,902,0.317382125264,0.311109998575,1019.98357784,2258.54678928,0.0840208777201,0.0164589429264
